Trial	IMEI	Model	Color	VZW Adjusted Grade	FD Adjusted Grade	FD/VZW	New Matching %
270	354389061363197	APL6P	GOLD	C	A	0	60.00%
	354390060413496	APL6P	GOLD	D+	B	0	
	354451061457179	APL6P	GOLD	A	A	1	
	354391064636611	APL6P	GOLD	D+	D+	1	
	352001070085172	APL6P	GOLD	A	A	1	
	355876064453032	APL6P	GOLD	B	A	0	
	354455063410169	APL6P	GOLD	B	B	1	
	354389068905065	APL6P	GOLD	D+	B	0	
	354454064665954	APL6P	GOLD	A	A	1	
	354455067807212	APL6P	GOLD	A	A	1	
270	354386067995717	APL6P	GRAY	A	A	1	70.00%
	354386068178776	APL6P	GRAY	B	B	1	
	354455068386513	APL6P	GRAY	D+	D+	1	
	355876063705747	APL6P	GRAY	D+	B	0	
	359321060749782	APL6P	GRAY	B	A	0	
	354392063284593	APL6P	GRAY	D+	D+	1	
	354451065685007	APL6P	GRAY	A	A	1	
	355877067727653	APL6P	GRAY	A	A	1	
	359322061512989	APL6P	GRAY	B	B	1	
	355877062520632	APL6P	GRAY	C	B	0	
270	355771074187011	APL6S	ROSE GOLD	A	A	1	80.00%
	355771077575741	APL6S	ROSE GOLD	A	A	1	
	358566077086815	APL6S	ROSE GOLD	B	B	1	
	355768077430083	APL6S	ROSE GOLD	C	C	1	
	355767077142557	APL6S	ROSE GOLD	C	C	1	
	355432075798336	APL6S	ROSE GOLD	B	A	0	
	355691070359705	APL6S	ROSE GOLD	B	A	0	
	355430075955666	APL6S	ROSE GOLD	B	B	1	
	355767077205370	APL6S	ROSE GOLD	B	B	1	
	355763077254401	APL6S	ROSE GOLD	C	C	1	
117	355400084471468	APL6S	SILVER	A	A	1	80.00%
	355399089714171	APL6S	SILVER	A	B	0	
	359156071665548	APL6S	SILVER	B	B	1	
	355399089676982	APL6S	SILVER	B	B	1	
	359159078977528	APL6S	SILVER	A	A	1	
270	355691079149040	APL6S	GRAY	A	A	1	70.00%
	359487085405625	APL6S	GRAY	A+	A+	1	
	358567077937643	APL6S	GRAY	A+	A+	1	
	355766077602008	APL6S	GRAY	B	D+	0	
	355769076917419	APL6S	GRAY	C	D+	0	
	355693071748027	APL6S	GRAY	A+	A+	1	
	355418079844531	APL6S	GRAY	B	A	0	
	353312073661599	APL6S	GRAY	A	A	1	
	353313073311995	APL6S	GRAY	A	A	1	
	358571077858536	APL6S	GRAY	A+	A+	1	
270	353315070877795	APL6S	GRAY	B	A	0	80.00%
	355696075858163	APL6S	GRAY	C	C	1	
	353268070561580	APL6S	GRAY	B	B	1	
	358566072837360	APL6S	GRAY	B	B	1	
	358569077807172	APL6S	GRAY	D+	D+	1	
	355772077724321	APL6S	GRAY	D+	D+	1	
	353269074662986	APL6S	GRAY	D+	D+	1	
	353312075612608	APL6S	GRAY	B	A	0	
	355690072121816	APL6S	GRAY	A	A	1	
	355416074183194	APL6S	GRAY	A	A	1	
117	359483082281655	APL6S	GRAY	C	D+	0	50.00%
	355696072231687	APL6S	GRAY	D+	D+	1	
	355690072302051	APL6S	GRAY	A	A	1	
	355694075182064	APL6S	GRAY	C	C	1	
	355688075713803	APL6S	GRAY	A	A	1	
	358569078204601	APL6S	GRAY	C	D+	0	
	358565071864649	APL6S	GRAY	A	A	1	
	355422075115391	APL6S	GRAY	A	D+	0	
	358566077068656	APL6S	GRAY	B	A	0	
	355765078669677	APL6S	GRAY	A+	A	0	
270	353335076406456	APL6SP	ROSE GOLD	A	A	1	90.00%
	353289071170130	APL6SP	ROSE GOLD	A	A	1	
	353284079906221	APL6SP	ROSE GOLD	A	A	1	
	353337077167319	APL6SP	ROSE GOLD	B	B	1	
	353336076538553	APL6SP	ROSE GOLD	A	A	1	
	353330074606496	APL6SP	ROSE GOLD	A	A	1	
	353284075941305	APL6SP	ROSE GOLD	A	A	1	
	355729072382737	APL6SP	ROSE GOLD	B	B	1	
	353328075755908	APL6SP	ROSE GOLD	D+	A	0	
	355737070522493	APL6SP	ROSE GOLD	A	A	1	
270	355732070627616	APL6SP	ROSE GOLD	B	B	1	90.00%
	353333077010484	APL6SP	ROSE GOLD	A	A	1	
	353330073626727	APL6SP	ROSE GOLD	D+	D+	1	
	353331072676317	APL6SP	ROSE GOLD	C	C	1	
	353337077303302	APL6SP	ROSE GOLD	B	B	1	
	353331077526574	APL6SP	ROSE GOLD	A	A	1	
	353337072886384	APL6SP	ROSE GOLD	D+	D+	1	
	358604073477017	APL6SP	ROSE GOLD	D+	A	0	
	355728070319816	APL6SP	ROSE GOLD	D+	D+	1	
	353283073900503	APL6SP	ROSE GOLD	A	A	1	
117	358605070561034	APL6SP	ROSE GOLD	A	A	1	60.00%
	354385079952321	APL6SP	ROSE GOLD	B	B	1	
	353328077323309	APL6SP	ROSE GOLD	C	D+	0	
	353330076744816	APL6SP	ROSE GOLD	A	A	1	
	353330077775991	APL6SP	ROSE GOLD	B	A	0	
270	358609073631471	APL6SP	SILVER	C	B	0	70.00%
	358611072348537	APL6SP	SILVER	C	C	1	
	355735074917420	APL6SP	SILVER	B	A	0	
	353330079626077	APL6SP	SILVER	A	A	1	
	355729076695142	APL6SP	SILVER	B	B	1	
	355734075008578	APL6SP	SILVER	A	A	1	
	355730074671549	APL6SP	SILVER	C	A	0	
	355732074616318	APL6SP	SILVER	A	A	1	
	355732074471920	APL6SP	SILVER	A	A	1	
	355730074833909	APL6SP	SILVER	A	A	1	
117	353337077222445	APL6SP	SILVER	B	A	0	20.00%
	355732071404379	APL6SP	SILVER	C	D+	0	
	353333077536926	APL6SP	SILVER	C	B	0	
	353330075327993	APL6SP	SILVER	B	A	0	
	353292074948510	APL6SP	SILVER	A	A	1	
117	353332078241940	APL6SP	GRAY	A	B	0	60.00%
	353335073892310	APL6SP	GRAY	B	B	1	
	353288070436591	APL6SP	GRAY	A	A	1	
	353336071978606	APL6SP	GRAY	A	A	1	
	355736071609325	APL6SP	GRAY	A	B	0	
117	359461080240246	APL7	SILVER	C	B	0	20.00%
	355824088482330	APL7	SILVER	C	D+	0	
	359164078183242	APL7	SILVER	B	A	0	
	359461083547191	APL7	SILVER	C	C	1	
	359164075059908	APL7	SILVER	C	B	0	
270	359467081233775	APL7	JET BLACK	D+	D+	1	100.00%
	359462088064885	APL7	JET BLACK	D+	D+	1	
	359462086898508	APL7	JET BLACK	C	C	1	
	355829089452364	APL7	JET BLACK	C	C	1	
	355824089404606	APL7	JET BLACK	C	C	1	
	355832089470378	APL7	JET BLACK	C	C	1	
	359464081181310	APL7	JET BLACK	D+	D+	1	
	355826089008352	APL7	JET BLACK	D+	D+	1	
	359464081247343	APL7	JET BLACK	C	C	1	
	355829089462397	APL7	JET BLACK	D+	D+	1	
270	359464088274381	APL7	JET BLACK	B	B	1	70.00%
	353824082370442	APL7	JET BLACK	A	A	1	
	353822084171222	APL7	JET BLACK	B	B	1	
	355344086238212	APL7	JET BLACK	D+	D+	1	
	355312085224673	APL7	JET BLACK	B	A	0	
	355311086065275	APL7	JET BLACK	B	B	1	
	355342084877239	APL7	JET BLACK	B	B	1	
	353825085092859	APL7	JET BLACK	B	A	0	
	355310082519772	APL7	JET BLACK	B	A	0	
	353822081220774	APL7	JET BLACK	D+	D+	1	
270	353826080155675	APL7	MATTE BLACK	A	A	1	90.00%
	353826085453349	APL7	MATTE BLACK	A	A	1	
	359463084697710	APL7	MATTE BLACK	B	A	0	
	355343084110340	APL7	MATTE BLACK	A	A	1	
	355340084640342	APL7	MATTE BLACK	A	A	1	
	353824084721014	APL7	MATTE BLACK	A	A	1	
	355344088136018	APL7	MATTE BLACK	A	A	1	
	355829086096438	APL7	MATTE BLACK	A	A	1	
	359465088302411	APL7	MATTE BLACK	A	A	1	
	359127078267737	APL7	MATTE BLACK	A	A	1	
117	359169070871710	APL7	MATTE BLACK	B	A	0	70.00%
	359161072972703	APL7	MATTE BLACK	B	D+	0	
	359169085362780	APL7	MATTE BLACK	A	A	1	
	355341087913355	APL7	MATTE BLACK	A	A	1	
	355828085833726	APL7	MATTE BLACK	A+	A+	1	
	353824080355510	APL7	MATTE BLACK	B	D+	0	
	353824081975928	APL7	MATTE BLACK	A	A	1	
	359164075487810	APL7	MATTE BLACK	A	A	1	
	355833085828742	APL7	MATTE BLACK	B	B	1	
	359170070809593	APL7	MATTE BLACK	A	A	1	
270	359180071898750	APL7P	GOLD	A	B	0	80.00%
	359172073427928	APL7P	GOLD	B	B	1	
	359178076075283	APL7P	GOLD	B	B	1	
	359128070532334	APL7P	GOLD	A	A	1	
	359171071533737	APL7P	GOLD	B	B	1	
	359171071846196	APL7P	GOLD	A	C	0	
	353821083894230	APL7P	GOLD	B	B	1	
	359177079486885	APL7P	GOLD	B	B	1	
	359175079775273	APL7P	GOLD	B	B	1	
	359180071490426	APL7P	GOLD	B	B	1	
117	359172070993179	APL7P	GOLD	B	A	0	0.00%
	359180079463821	APL7P	GOLD	B	A+	0	
270	355835086573102	APL7P	RED	A	A	1	80.00%
	355843086803719	APL7P	RED	A	A	1	
	356697085406828	APL7P	RED	A	A	1	
	355836089099400	APL7P	RED	C	C	1	
	355841086366927	APL7P	RED	A	A	1	
	356696085375835	APL7P	RED	C	A	0	
	355837086018781	APL7P	RED	A	A	1	
	355837088761156	APL7P	RED	A	A	1	
	355843089960656	APL7P	RED	A	A	1	
	356693080766050	APL7P	RED	A+	A	0	
117	355835084200062	APL7P	SILVER	B	A+	0	58.33%
	355372086680836	APL7P	SILVER	B	B	1	
	359174078783776	APL7P	SILVER	A	A+	0	
	355374083404012	APL7P	SILVER	A	A	1	
	355834089924917	APL7P	SILVER	A	A	1	
	355840089734982	APL7P	SILVER	B	A	0	
	359177076105447	APL7P	SILVER	C	C	1	
	355843087776377	APL7P	SILVER	A+	A	0	
	353821083567299	APL7P	SILVER	A	A	1	
	359179078497525	APL7P	SILVER	C	B	0	
	353817083547612	APL7P	SILVER	A	A	1	
	359176070529198	APL7P	SILVER	A	A	1	
270	359470085494575	APL7P	JET BLACK	B	B	1	90.00%
	359474081574927	APL7P	JET BLACK	B	B	1	
	359469085479545	APL7P	JET BLACK	B	C	0	
	359469084966930	APL7P	JET BLACK	C	C	1	
	356695087658065	APL7P	JET BLACK	D+	D+	1	
	356694087049656	APL7P	JET BLACK	D+	D+	1	
	356697089166691	APL7P	JET BLACK	C	C	1	
	359475085206630	APL7P	JET BLACK	C	C	1	
	359469085415960	APL7P	JET BLACK	B	B	1	
	356693086483817	APL7P	JET BLACK	C	C	1	
117	359468085544274	APL7P	JET BLACK	B	A	0	0.00%
270	356700086396236	APL8	GOLD	A	A	1	90.00%
	356701085568700	APL8	GOLD	A	A	1	
	356706081148738	APL8	GOLD	A	A	1	
	353000093967019	APL8	GOLD	A	A	1	
	356702081646425	APL8	GOLD	A	A	1	
	356699085653524	APL8	GOLD	A+	A+	1	
	356703081137746	APL8	GOLD	C	D+	0	
	356701080643656	APL8	GOLD	A	A	1	
	356701080605358	APL8	GOLD	A	A	1	
	356699082684274	APL8	GOLD	A	A	1	
270	356705080964525	APL8	GOLD	C	C	1	70.00%
	356699082558775	APL8	GOLD	C	B	0	
	356705080203304	APL8	GOLD	C	B	0	
	354891091697999	APL8	GOLD	B	A	0	
	353001095458049	APL8	GOLD	C	C	1	
	356707080776172	APL8	GOLD	C	C	1	
	356705082630660	APL8	GOLD	B	B	1	
	353003092475695	APL8	GOLD	B	B	1	
	356703084193522	APL8	GOLD	C	C	1	
	353001094706844	APL8	GOLD	B	B	1	
270	354894090085802	APL8	RED	B	B	1	90.00%
	354892091371759	APL8	RED	A	A	1	
	354894090106764	APL8	RED	B	D+	0	
	353002096277909	APL8	RED	A	A	1	
	354894091584613	APL8	RED	A	A	1	
	354894090160829	APL8	RED	A+	A+	1	
	352999098431148	APL8	RED	A	A	1	
	354894090108703	APL8	RED	A	A	1	
	354894090084722	APL8	RED	A	A	1	
	354895091660030	APL8	RED	A	A	1	
117	356701085524653	APL8	SILVER	B	B	1	40.00%
	356703085755501	APL8	SILVER	B	D+	0	
	354894090596766	APL8	SILVER	A	A	1	
	356699088477848	APL8	SILVER	A	B	0	
	356700086809865	APL8	SILVER	B	A+	0	
117	356701087450766	APL8	GRAY	D+	D+	1	60.00%
	354891094371014	APL8	GRAY	A	A+	0	
	356700089591361	APL8	GRAY	A	A+	0	
	356702086853414	APL8	GRAY	B	B	1	
	353003092514717	APL8	GRAY	A	A	1	
	352999098674788	APL8	GRAY	B	A	0	
	354896093606385	APL8	GRAY	B	B	1	
	356706080936398	APL8	GRAY	A+	A+	1	
	354889093007464	APL8	GRAY	C	D+	0	
	356706088419728	APL8	GRAY	B	B	1	
270	353013091261608	APL8P	GRAY	B	B	1	70.00%
	353009094998444	APL8P	GRAY	B	B	1	
	353012092604691	APL8P	GRAY	A	A	1	
	356714089367540	APL8P	GRAY	A	A	1	
	353009097159887	APL8P	GRAY	D+	B	0	
	356715087400159	APL8P	GRAY	B	A	0	
	356716085509736	APL8P	GRAY	A	A	1	
	352982091613557	APL8P	GRAY	A	A	1	
	352983097684949	APL8P	GRAY	B	B	1	
	356118097245310	APL8P	GRAY	B	A	0	
117	356712088291125	APL8P	GRAY	B	A	0	16.67%
	356710089241438	APL8P	GRAY	C	B	0	
	356708086811617	APL8P	GRAY	A	B	0	
	352983096741864	APL8P	GRAY	C	F	0	
	356714086422439	APL8P	GRAY	B	B	1	
	356717089272891	APL8P	GRAY	C	B	0	
	356709089435495	APL8P	GRAY	C	D+	0	
	356116090976972	APL8P	GRAY	A	B	0	
	356717089557721	APL8P	GRAY	A	A	1	
	356712081248106	APL8P	GRAY	B	F	0	
	356714082018322	APL8P	GRAY	A+	A	0	
	352982094469569	APL8P	GRAY	C	A	0	
270	356118090167347	APL8P	RED	C	A	0	70.00%
	356110091260122	APL8P	RED	B	B	1	
	356118091664474	APL8P	RED	B	B	1	
	356112091134687	APL8P	RED	C	D+	0	
	356116090057765	APL8P	RED	A	B	0	
	356112093010141	APL8P	RED	B	B	1	
	356116091020028	APL8P	RED	C	C	1	
	356117094982461	APL8P	RED	B	B	1	
	356109093765534	APL8P	RED	A	A	1	
	356116090255047	APL8P	RED	B	B	1	
270	352979095929906	APL8P	SILVER	D+	D+	1	90.00%
	353009092682768	APL8P	SILVER	A+	A+	1	
	352979091894930	APL8P	SILVER	A	A	1	
	352981095601667	APL8P	SILVER	A	A	1	
	356708083117307	APL8P	SILVER	A+	A+	1	
	356717088377410	APL8P	SILVER	A	A	1	
	352983096081378	APL8P	SILVER	A+	A+	1	
	356712086281128	APL8P	SILVER	A	A	1	
	356715080356952	APL8P	SILVER	A	A	1	
	356118091779793	APL8P	SILVER	A	A+	0	
270	353058097923826	APLX	GRAY	C	B	0	90.00%
	354845096232988	APLX	GRAY	B	B	1	
	353052098335296	APLX	GRAY	B	B	1	
	356724083433875	APLX	GRAY	D+	D+	1	
	353051097145771	APLX	GRAY	D+	D+	1	
	356727080238338	APLX	GRAY	B	B	1	
	354844096640761	APLX	GRAY	A	A	1	
	353054098901036	APLX	GRAY	C	C	1	
	354839093571977	APLX	GRAY	C	C	1	
	353054098839145	APLX	GRAY	B	B	1	
270	354848097618890	APLX	GRAY	B	B	1	83.33%
	353058094346583	APLX	GRAY	A	A	1	
	354847092752399	APLX	GRAY	B	B	1	
	356727086231873	APLX	GRAY	D+	D+	1	
	354857097611896	APLX	GRAY	A	C	0	
	354841093549516	APLX	GRAY	A	A	1	
117	353053097032975	APLX	GRAY	B	B	1	80.00%
	356719087773243	APLX	GRAY	A+	A+	1	
	356725086543511	APLX	GRAY	A	A	1	
	354843093383540	APLX	GRAY	A	B	0	
	353054096837661	APLX	GRAY	A	A	1	
270	354858097547098	APLX	SILVER	B	B	1	90.00%
	354849093751560	APLX	SILVER	A	A	1	
	353050099236133	APLX	SILVER	A	A	1	
	356718082826535	APLX	SILVER	A	A	1	
	354847092387089	APLX	SILVER	A	A	1	
	356718087921372	APLX	SILVER	A	A	1	
	356719084913677	APLX	SILVER	A	A	1	
	356726084343128	APLX	SILVER	B	B	1	
	354850090366501	APLX	SILVER	B	C	0	
	353054095921136	APLX	SILVER	A	A	1	
270	354843092406888	APLX	SILVER	B	B	1	100.00%
	353053095767531	APLX	SILVER	B	B	1	
	353052096306505	APLX	SILVER	D+	D+	1	
	354853090101639	APLX	SILVER	A	A	1	
117	353049098821267	APLX	SILVER	B	A	0	20.00%
	354847091823183	APLX	SILVER	C	A	0	
	354848090204201	APLX	SILVER	B	A	0	
	353053097684510	APLX	SILVER	A	A	1	
	354852092565684	APLX	SILVER	B	A	0	
	354848091246987	APLX	SILVER	B	A	0	
	353055096717084	APLX	SILVER	A	A	1	
	356718089438243	APLX	SILVER	C	A	0	
	356727087998355	APLX	SILVER	C	A	0	
	354850097198444	APLX	SILVER	C	B	0	
